categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,colonna_separata,modello,sport,colori
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE PHANTOM 3 - Scarpe da pallamano - white/blue,"98,99","109,99",https://www.zalando.it/mizuno-wave-phantom-3-scarpe-da-pallamano-whiteblue-m2742a0fb-a15.html,"['WAVE PHANTOM 3 ', ' Scarpe da pallamano ', ' white/blue']",WAVE PHANTOM 3 , Scarpe da pallamano , white/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE INSPIRE 21 - Scarpe da corsa su strada - grey/mint,"159,99","159,99",https://www.zalando.it/mizuno-wave-inspire-21-scarpe-da-corsa-su-strada-greymint-m2742a0l1-c11.html,"['WAVE INSPIRE 21 ', ' Scarpe da corsa su strada ', ' grey/mint']",WAVE INSPIRE 21 , Scarpe da corsa su strada , grey/mint
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - nimbus cloud/blue pace/ignition red,"159,99","159,99",https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-nimbus-cloudblue-paceignition-red-m2742a0ja-c11.html,"['WAVE RIDER 28 ', ' Scarpe da corsa su strada ', ' nimbus cloud/blue pace/ignition red']",WAVE RIDER 28 , Scarpe da corsa su strada , nimbus cloud/blue pace/ignition red
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO IV Β ELITE - Scarpe da calcio con tacchetti - galaxy silver/cool gray,"210,00","210,00",https://www.zalando.it/mizuno-morelia-neo-iv-elite-scarpe-da-calcio-con-tacchetti-galaxy-silvercool-gray-m2742a0jt-d11.html,"['MORELIA NEO IV Β ELITE ', ' Scarpe da calcio con tacchetti ', ' galaxy silver/cool gray']",MORELIA NEO IV Β ELITE , Scarpe da calcio con tacchetti , galaxy silver/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,MORELIA NEO PRO - Scarpe da calcetto con tacchetti - galaxy silver/cool gray,"129,99","129,99",https://www.zalando.it/mizuno-scarpe-da-calcetto-con-tacchetti-galaxy-silvercool-gray-m2742a0k3-d11.html,"['MORELIA NEO PRO ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver/cool gray']",MORELIA NEO PRO , Scarpe da calcetto con tacchetti , galaxy silver/cool gray
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE LIGHTNING NEO 3 - Scarpe da pallavolo - mint/black/blue,"161,99","179,99",https://www.zalando.it/mizuno-wave-lightning-neo-3-scarpe-da-pallavolo-mintblackblue-m2744a00n-m11.html,"['WAVE LIGHTNING NEO 3 ', ' Scarpe da pallavolo ', ' mint/black/blue']",WAVE LIGHTNING NEO 3 , Scarpe da pallavolo , mint/black/blue
Scarpe Sportive Uomo Mizuno,MIZUNO,MIZUNO ALPHA II ELITE UNISEX - Scarpe da calcetto con tacchetti - galaxy silver/gold,"199,95","199,95",https://www.zalando.it/mizuno-mizuno-alpha-ii-elite-unisex-scarpe-da-calcetto-con-tacchetti-galaxy-silvergold-m2742a0js-d11.html,"['MIZUNO ALPHA II ELITE UNISEX ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver/gold']",MIZUNO ALPHA II ELITE UNISEX , Scarpe da calcetto con tacchetti , galaxy silver/gold
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE STEALTH 6 - Scarpe da pallamano - white/bellwether blue/bel air blue,"125,99","139,99",https://www.zalando.it/mizuno-wave-stealth-6-scarpe-da-pallamano-whitebellwether-bluebel-air-blue-m2742a0il-a12.html,"['WAVE STEALTH 6 ', ' Scarpe da pallamano ', ' white/bellwether blue/bel air blue']",WAVE STEALTH 6 , Scarpe da pallamano , white/bellwether blue/bel air blue
Scarpe Sportive Uomo Mizuno,MIZUNO,WAVE DAICHI 9 - Scarpe da trail running - red,"149,99","149,99",https://www.zalando.it/mizuno-wave-daichi-9-scarpe-da-trail-running-red-m2742a0l2-g11.html,"['WAVE DAICHI 9 ', ' Scarpe da trail running ', ' red']",WAVE DAICHI 9 , Scarpe da trail running , red
Scarpe Sportive Uomo Mizuno,MIZUNO,MONARCIDA NEO SELECT - Scarpe da calcetto con tacchetti - galaxy silver,"69,99","69,99",https://www.zalando.it/mizuno-monarcida-neo-select-scarpe-da-calcetto-con-tacchetti-galaxy-silver-m2742a0jl-d11.html,"['MONARCIDA NEO SELECT ', ' Scarpe da calcetto con tacchetti ', ' galaxy silver']",MONARCIDA NEO SELECT , Scarpe da calcetto con tacchetti , galaxy silver
